"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"October 21, 2009","Bullitt County Public Schools","Shepherdsville","Kentucky","DISC","EDU","676","A Bullitt County Public Schools 
            employee accidentally sent an e-mail message to about 1,800 school 
            district workers that included the names and Social Security numbers 
            of 676 district employees. The employees were identified as not having 
            completed the district's 2010 open-enrollment process for insurance, 
            and the e-mail was intended as a reminder to complete the process.","Dataloss DB","","2009","37.988399","-85.715792"
"October 21, 2009","Roane State Community College ","Harriman","Tennessee","PORT","EDU","14,783","Roane State Community College 
            has announced that the names and Social Security numbers of 9,747 
            current or former students were on a data storage device stolen from 
            an employee's vehicle, along with 1,194 current/former employees' 
            information. The Social Security numbers alone, with no names, were 
            also stolen for 5,036 additional current or former students. The data 
            was on a 4GB USB drive used for work-related purposes. An employee 
            took it home to do work after hours, and left it in the car. The employee 
            forgot to lock the car doors. The USB drive was stolen along with 
            a personal hand-held device.","Dataloss DB","","2009","35.933964","-84.552436"
"October 15, 2009","Halifax Health","Daytona Beach","Florida","PORT","MED","33,000","A laptop computer from a Halifax 
            Health employee's vehicle in Orange County was stolen -- which might 
            have contained password protected patient information.","Dataloss DB","","2009","29.210815","-81.022833"
"October 4, 2009","Suffolk Community College","Selden","New York","DISC","EDU","300","Suffolk Community College has 
            agreed to pay a company for the next year to monitor the credit of 
            300 students whose last names and Social Security numbers were mistakenly 
            listed in an attachment to an e-mail sent to those students last month.","Dataloss DB","","2009","40.866487","-73.035663"
"September 28, 2009","Penrose Hospital","Colorado Springs","Colorado","PHYS","MED","175","Officials at Penrose Hospital              believe someone has stolen the personal information of 175 patients.              The missing information consists of names, addresses, phone numbers,              Social Security numbers and the reason for the patients' visits. The              information was stored on a computer print-out and kept in a binder              stored in a cabinet. The print out has gone missing.","Dataloss DB","","2009","38.833882","-104.821363"
"September 23, 2009","Eastern Kentucky University","Richmond","Kentucky","DISC","EDU","5,045","The names and Social Security 
            numbers of about 5,000 Eastern Kentucky University faculty, staff 
            and student workers were posted inadvertently on the Internet last 
            September, where they have been displayed for a year.","Dataloss DB","","2009","37.747857","-84.294654"
"September 22, 2009","Bernard Madoff Investors","Dallas","Texas","PORT","BSF","2,246","More than 2,200 Bernard Madoff 
            investors are learning that some of their personal and financial information 
            has potentially been breached after the theft of a laptop in Dallas. 
            The names, addresses, Social Security numbers and some Madoff account 
            information on 2,246 investors was contained in a computer stolen 
            from the car of an employee of AlixPartners Llp.","Dataloss DB","","2009","32.802955","-96.769923"
"September 22, 2009","Sagebrush Medical Plaza/Kern Medical Center","Bakersfield","California","PHYS","MED","31,000","Thousands of patients at a Kern 
            County health clinic have been warned their personal information could 
            have been stolen. A break-in happened at the Sagebrush Medical Plaza 
            in July, and Kern Medical Center officials have notified 31,000 patients 
            to take precautions against possible identity theft. One or more unknown 
            individuals broke into a locked storage area that contained confidential 
            patient information. All patient information has now been moved to 
            a location inside the clinic building.","Dataloss DB","","2009","35.373292","-119.018713"
"September 21, 2009","Rocky Mountain Bank","Pinedale","Wyoming","DISC","BSF","1,325","A customer of the Rocky Mountain 
            Bank asked a bank employee to send certain loan statements to a representative 
            of the customer. The employee, however, inadvertently sent the e-mail 
            to the wrong Gmail address. Additionally, the employee had attached 
            a sensitive file to the e-mail that should not have been sent at all. 
            The attachment contained confidential information on 1,325 individual 
            and business customers that included their names, addresses, tax identification 
            or Social Security numbers and loan information.","Dataloss DB","","2009","42.866610","-109.860986"
"September 14, 2009","University of Florida        ","Gainesville","Florida","DISC","EDU","25","In August, the University's 
            Privacy Office was notified of a privacy breach after the discovery 
            of an unprotected computer file containing 34 names and 25 Social 
            Security numbers. It's believed the personal information belongs to 
            trainers working with the Florida Traffic and Bicycle Safety Education 
            program in 2006. The file was immediately removed.","Dataloss DB","","2009","29.651634","-82.324826"
"September 14, 2009","Jones General Store/Root of the Hill","Boulder","Colorado","PHYS","BSR","0","Boulder police are investigating 
            two burglaries on University Hill that could have compromised some 
            local shoppers' personal and credit card information. A manager for 
            Jones General Store called police to report an overnight break-in 
            and theft of credit card receipts. A short time later, an owner of 
            Root of the Hill, a business in the same building, called officers 
            to report a break-in, theft and extensive vandalism.","Dataloss DB","","2009","40.014986","-105.270546"
"September 2, 2009","Bluegrass Community and Technical College","Danville","Kentucky","UNKN","EDU","100","A file containing the personal 
            information including Social Security numbers of nearly 100 students 
            at the Bluegrass Community and Technical College has been stolen.","Dataloss DB","","2009","37.645633","-84.772170"
"September 2, 2009","Naval Hospital Pensacola","Pensacola","Florida","PORT","MED","38,000","Naval Hospital Pensacola will 
            be notifying thousands of beneficiaries who use its pharmacy services, 
            following the disappearance of a laptop computer. The computer's database 
            contains a registry of 38,000 pharmacy service customers' names, Social 
            Security numbers and dates of birth on all patients that used the 
            pharmacy in the last year. It does not contain any personal health 
            information.","Dataloss DB","","2009","30.421309","-87.216915"
"August 21, 2009","University of Massachusetts","Amherst","Massachusetts","HACK","EDU","0","Nearly a year ago, hackers broke 
            into a computer server that contained Social Security numbers and 
            a very limited amount of credit card information for 
            graduates of University of Massachusetts. Hackers gained access to 
            one server on the university's computer system, which held information 
            of students who attended UMass between 1982 and 2002, as well as a 
            few who attended before 1982. A UMass spokesman declined to say how 
            many people's records were exposed, except that it was a 
            large number of undergraduate and graduate students who attended 
            the university during the 20-year period.","Dataloss DB","","2009","42.380368","-72.523143"
"August 15, 2009","Northern Kentucky University","Highland Heights","Kentucky","PORT","EDU","200","A Northern Kentucky University 
            employee's laptop computer - which contained personal information 
            about some current and former students -- was stolen from a restricted 
            area. The personal information stored on the employee's computer included 
            Social Security numbers of at least 200 current and former students.","Dataloss DB","","2009","39.033117","-84.451885"
"August 14, 2009","Calhoun Area Career Center","Battle Creek","Michigan","DISC","EDU","455","Personal information from 455 
            students at Calhoun Area Career Center during the 2005-2006 school 
            year was available online for more than three years. The information 
            included names, Social Security numbers, 2006 addresses and telephone 
            numbers, birth dates and school information. There were about 1,000 
            students at the career center during that time, but an investigation 
            by the Calhoun County Intermediate School district found that information 
            for 455 students was available.","Dataloss DB","","2009","42.321152","-85.179714"
"August 3, 2009","National Finance Center","Washington","District Of Columbia","DISC","GOV","27,000","An employee with the National 
            Finance Center mistakenly sent an Excel spreadsheet containing the 
            employees' personal information to a co-worker via e-mail in an unencrypted 
            form. The names and Social Security numbers of at least 27,000 Commerce 
            Department employees were exposed.","Media","","2009","38.895112","-77.036366"
"July 22, 2009","A Honolulu hospital","Honolulu","Hawaii","INSD","MED","0","In June 2009, a Hawaii woman 
            was sentenced to a year in prison for illegally accessing another 
            woman's medical records and posting on MySpace that she had HIV. The 
            State of Hawaii brought charges under a state law that criminalizes 
            unauthorized access to a computer as a class B felony. The defendant 
            was employed by a hospital and had access to patient medical records.","Media","","2009","21.306944","-157.858333"
"July 14, 2009","Canyons School District","Cottonwood  Heights","Utah","PORT","EDU","6,000","Canyons School District officials 
          are investigating the disappearance of a thumb drive that contained 
          the personal information of more than 6,000 current and recent employees. 
          The USB flash drive is believed to have contained employee addresses, 
          phone numbers, dates of birth and Social Security numbers. A district-level 
          worker was using it to transfer data for apparently legitimate, 
          job-related purposes.","Dataloss DB","","2009","40.619670","-111.810210"
"July 14, 2009","Leander School District","Leander","Texas","UNKN","EDU","0","School officials sent a notice 
            home with special needs students to alert parents that someone gained 
            access to private information. It appears that one individual gained 
            unauthorized electronic access to confidential information.","Media","","2009","30.578806","-97.853069"
"July 9, 2009","Mountain Medical Center","Salt Lake","Utah","PHYS","MED","0","Names, credit card numbers, Social 
            Security numbers were found in a dumpster. A man was throwing away 
            some stuff in a dumpster and found it was chock full of medical records. There's 
            everything in there from canceled checks to routing numbers, 
            he said. Salt Lake Police packed away perhaps twenty boxes of papers, 
            and said they would protect the documents, as they dug into the matter.","Media","","2009","40.760779","-111.891047"
"July 8, 2009","AT&T","Chicago","Illinois","INSD","BSO","2,100","A temporary employee for AT&T 
            was arrested today on charges she stole personal information on 2,100 
            co-workers and then pocketed more than $70,000 by taking out short-term 
            payday loans in the names of 130 of them.","Dataloss DB","","2009","41.850033","-87.650052"
"June 24, 2009","Florida Department of Revenue","Tallahassee","Florida","PORT","GOV","2,828","The names, addresses and Social 
          Security numbers of about 3,000 people employed by a handful of state 
          businesses were on a password-protected flash drive stolen from the 
          car of a Florida Department of Revenue employee in Georgia. The people 
          were current or past employees of six large corporations that are being 
          audited by the state.","Dataloss DB","","2009","30.438256","-84.280733"
"June 24, 2009","Battle Creek City","Battle Creek","Michigan","DISC","GOV","65","Some Battle Creek city employees 
          are getting free identity protection help after the mayor posted a document 
          with personnel information to a public Web site. Information on city 
          workers, including Social Security numbers, was listed on a city check 
          registry that the mayor put online and linked to using his Twitter.com 
          account. The registry is no longer online and the city has worked with 
          law enforcement and Twitter, to remove any archived references to the 
          information.","Media","","2009","42.321152","-85.179714"
"June 23, 2009","Cornell University","Ithaca","New York","PORT","EDU","45,277","A stolen Cornell University computer 
          has compromised the personal information of thousands of members of 
          the University community. The computer contains the names and Social 
          Security numbers of current and former students as well as current and 
          former faculty and staff members.","Dataloss DB","","2009","42.440628","-76.496607"
